title,genre
texas lady,Western
gringo,Action
clown,Horror
1br,Horror
silver lode,Western
bloodsport,Action
how the west was won,Western
gutshot straight,Action
the marine 2,Action
air rage,Action
jeremiah johnson,Western
age of the dragons,Fantasy
blood frenzy,Horror
the call of the wild,Adventure
she,Fantasy
deep rising,Action
freeze frame,Action
super eruption,Fantasy
martial law,Action
horizons west,Western
you'll find out,Horror
assassin's bullet,Action
the big circus,Adventure
princess caraboo,Adventure
top of the world,Action
conan the barbarian,Action
the gunfighter,Western
soylent green,Fantasy
crawlspace,Horror
son of the dragon,Fantasy
gunsmoke,Western
bomb city,Action
tarzan finds a son!,Adventure
conquest of cochise,Western
island of the dead,Horror
u.s. seals ii,Action
willard,Horror
hazmat,Horror
deathlands ,Action
valdez is coming,Western
devil winds,Action
in old california,Adventure
shockwave,Action
cybertracker,Action
exit wounds,Action
maiden voyage,Action
cyborg cop 2,Action
escape room,Horror
cyborg 2087,Fantasy
before i wake,Horror
encounter,Fantasy
breaker! breaker!,Action
seminole,Western
code name: vengeance,Action
riddick,Action
kim,Adventure
skyscraper,Action
steel dawn,Fantasy
the indian fighter,Western
circus world,Adventure
immortals,Action
thunder in the sun,Western
z for zachariah,Fantasy
the gun hawk,Western
after the sunset,Action
saint francis,Horror
the homesman,Western
the midnight man,Horror
shark night 3d,Horror
rosemary's baby,Horror
the missing,Western
joy ride 3,Horror
the unholy,Horror
ella enchanted,Fantasy
unknown island,Adventure
equilibrium,Fantasy
knightriders,Adventure
love's abiding joy ,Western
ivanhoe,Adventure
slender man,Horror
destination moon,Fantasy
bad boys ii,Action
the new mutants,Fantasy
the swarm,Action
switchblade sisters,Action
hammer of the gods,Action
samurai cop,Action
the ox-bow incident,Western
dark angel,Action
speed,Action
bone tomahawk,Horror
jonah hex,Action
meek's cutoff,Western
bucking broadway,Western
captains courageous,Adventure
california passage,Western
firewalker,Adventure
the strangers,Horror
old henry,Western
operation dumbo drop,Adventure
project viper,Fantasy
army of darkness,Horror
the getaway,Action
fright night part 2,Horror
the westerner,Western
new frontier,Western
the good old boys,Western
fallen,Fantasy
lavalantula,Horror
wanda nevada,Adventure
decision at sundown,Western
crash and burn,Action
landslide,Adventure
carnival of souls ,Horror
zigzag,Action
stagecoach,Western
ghostbusters,Fantasy
impostor,Fantasy
warning sign,Action
beau geste,Adventure
tom horn,Western
supernova,Fantasy
midnight man,Action
garden of evil,Western
the hired hand,Western
black dawn,Action
the lonely trail,Western
the plan,Action
cold fusion,Action
the stairs,Horror
swelter,Action
prom night,Horror
cat people,Horror
far country,Western
land of the pharaohs,Adventure
at sword's point,Adventure
coin heist,Action
rampage,Adventure
mercury plains,Action
fighting caravans,Western
chicago overcoat,Action
airport '77,Action
a dangerous man,Action
firefox,Action
home,Horror
panic in year zero!,Fantasy
the gypsy moths,Adventure
isolation,Action
final destination 3,Horror
saturn 3,Fantasy
2012: ice age,Action
one tough bastard,Action
remote control,Fantasy
catacombs,Horror
death wish,Action
lone survivor,Action
red garters,Western
don't blink,Horror
the aurora encounter,Fantasy
avenging force,Action
branded,Western
pet sematary,Horror
proud mary,Action
